region,env,total404,rootCauseCount,cache_not_ready_yet,authz_service_restart,deployment_not_in_top_3_latest_deployments,runtime_services_cache_load_failure,root_cause_unknown,recoveryStatus
ap-hyderabad,iaaviz-dev2,3021,3021,3021,0,0,0,0,recovered
ap-mumbai,eqad-dev3,138,138,138,0,0,0,0,recovered
ap-mumbai,eval-test,3200,3200,3200,0,0,0,0,recovered
ap-mumbai,ewek-test,13,13,13,0,0,0,0,recovered
ap-mumbai,ewjp-test,7,7,7,0,0,0,0,recovered
ap-mumbai,iaaycp-dev2,30,30,30,0,0,0,0,recovered
ap-mumbai,iabfcp-test,3,3,3,0,0,0,0,recovered
ap-mumbai,iabmcp-dev2,5,5,5,0,0,0,0,recovered
ap-singapore,epei-test,12,12,12,0,0,0,0,recovered
ap-singapore,ephv-dev1,47,47,47,0,0,0,0,recovered
ap-singapore,iaaptj-test,29,29,29,0,0,0,0,recovered
ap-singapore,iabhtj-test,22,22,22,0,0,0,0,recovered
ap-singapore,iabjtj-dev1,145,145,145,0,0,0,0,recovered
ap-singapore,iabwtj-test,17,17,17,0,0,0,0,recovered
ap-singapore,iabxtj-dev3,469,469,469,0,0,0,0,recovered
ap-sydney,ectq-dev1,132,132,132,0,0,0,0,recovered
ap-sydney,eeoj-test,29,29,29,0,0,0,0,recovered
ap-sydney,efga-test,12000,12000,12000,0,0,0,0,recovered
ap-sydney,egjb-test,6,6,6,0,0,0,0,recovered
ap-sydney,ejbe-test,94,94,94,0,0,0,0,recovered
ap-sydney,ejdt-test,1557,1557,1557,0,0,0,0,recovered
ap-sydney,ejjr-dev2,11,11,11,0,0,0,0,recovered
ap-sydney,ejzn-test,7300,7300,7300,0,0,0,0,recovered
ap-sydney,erea-test,184,184,184,0,0,0,0,recovered
ap-sydney,euxd-dev1,22,22,22,0,0,0,0,recovered
ap-sydney,evjy-dev1,203,203,203,0,0,0,0,recovered
ap-sydney,evmc-dev1,35,35,35,0,0,0,0,recovered
ap-sydney,ewdt-test,4,4,4,0,0,0,0,recovered
ap-sydney,exse-test,112,112,112,0,0,0,0,recovered
ap-sydney,iaaztz-dev2,401,401,401,0,0,0,0,recovered
ap-tokyo,eoly-dev2,1,1,1,0,0,0,0,recovered
ap-tokyo,ewjn-test,6035,6035,6035,0,0,0,0,recovered
ap-tokyo,ewri-dev1,3000,3000,3000,0,0,0,0,recovered
ap-tokyo,exoa-dev1,7,7,7,0,0,0,0,recovered
ap-tokyo,exoa-test,123,123,122,1,0,0,0,recovered
ap-tokyo,iabeou-dev1,3,3,3,0,0,0,0,recovered
ap-tokyo,iabeou-test,40,40,40,0,0,0,0,recovered
ap-tokyo,iabsou-dev1,109,109,109,0,0,0,0,recovered
ap-tokyo,iabsou-test,41,41,41,0,0,0,0,recovered
ap-tokyo,iacjou-dev1,11,11,11,0,0,0,0,recovered
ca-toronto,ewde-dev2,3,3,3,0,0,0,0,recovered
eu-amsterdam,etzd-dev1,174,174,174,0,0,0,0,recovered
eu-amsterdam,etzd-test,283,283,283,0,0,0,0,recovered
eu-frankfurt,ecub-test,200,200,200,0,0,0,0,recovered
eu-frankfurt,ecxa-test,9,9,9,0,0,0,0,recovered
eu-frankfurt,edbh-test,169,169,169,0,0,0,0,recovered
eu-frankfurt,edvp-dev7,9101,9101,9101,0,0,0,0,recovered
eu-frankfurt,edzp-test,99,99,99,0,0,0,0,recovered
eu-frankfurt,ehef-test,325,325,325,0,0,0,0,recovered
eu-frankfurt,ehff-dev1,91,91,91,0,0,0,0,recovered
eu-frankfurt,ehff-dev7,366,366,366,0,0,0,0,recovered
eu-frankfurt,ehff-test,27,27,27,0,0,0,0,recovered
eu-frankfurt,ehgt-test,228,228,228,0,0,0,0,recovered
eu-frankfurt,ehji-test,67,67,67,0,0,0,0,recovered
eu-frankfurt,ehpg-dev2,42,42,42,0,0,0,0,recovered
eu-frankfurt,ehro-dev3,270,270,270,0,0,0,0,recovered
eu-frankfurt,ejgc-dev1,9000,9000,9000,0,0,0,0,recovered
eu-frankfurt,ejqa-dev2,19,19,19,0,0,0,0,recovered
eu-frankfurt,ejqa-dev3,300,300,300,0,0,0,0,recovered
eu-frankfurt,ejqa-test,223,223,223,0,0,0,0,recovered
eu-frankfurt,ekif-dev1,59,59,59,0,0,0,0,recovered
eu-frankfurt,elcg-dev26,15,15,15,0,0,0,0,recovered
eu-frankfurt,eljv-test,124,124,124,0,0,0,0,recovered
eu-frankfurt,elzx-dev1,109,109,109,0,0,0,0,recovered
eu-frankfurt,elzx-dev2,85,85,85,0,0,0,0,recovered
eu-frankfurt,elzx-test,142,142,142,0,0,0,0,recovered
eu-frankfurt,emhm-dev1,135,135,108,0,27,0,0,recovered
