region,env,total404,rootCauseCount,cache_not_ready_yet,deployment_not_in_top_3_latest_deployments,runtime_services_cache_load_failure,root_cause_unknown,recoveryStatus
ap-sydney,efyq-dev4,3,3,3,0,0,0,recovered
eu-amsterdam,iacfbn-dev3,20,20,20,0,0,0,recovered
eu-frankfurt,egzz-test,2056,2056,2056,0,0,0,recovered
eu-frankfurt,ehtp-test,59,59,59,0,0,0,recovered
eu-frankfurt,ejqa-dev3,2,2,2,0,0,0,recovered
eu-frankfurt,ejqa-test,661,661,661,0,0,0,recovered
eu-frankfurt,ekhf-test,3000,3000,3000,0,0,0,recovered
eu-frankfurt,ekif-dev1,8484,8484,8484,0,0,0,recovered
eu-frankfurt,ekjj-test,92,92,92,0,0,0,recovered
eu-frankfurt,elkn-test,0,0,0,0,0,0,not_sure
eu-frankfurt,ewpz-test,3000,3000,3000,0,0,0,recovered
eu-frankfurt,exgn,2305,2305,2305,0,0,0,recovered
eu-frankfurt,iaeegs-test,14,14,14,0,0,0,recovered
eu-zurich,iaaras,6,6,0,6,0,0,recovered
me-dubai,esyw-test,1088,1088,1088,0,0,0,recovered
me-jeddah,ertm-test,165,165,165,0,0,0,recovered
me-jeddah,ewxl-dev1,2,2,0,2,0,0,recovered
me-jeddah,iaapkf-test,862,862,862,0,0,0,recovered
uk-london,eerb-test,194,194,194,0,0,0,recovered
uk-london,efbz-dev1,9,9,9,0,0,0,recovered
uk-london,efhi-dev25,1,1,0,1,0,0,recovered
uk-london,efmj-test,17,17,17,0,0,0,recovered
uk-london,efwd-test,7,7,7,0,0,0,recovered
uk-london,etuj-dev3,9,9,9,0,0,0,recovered
uk-london,hccz,192,192,0,192,0,0,recovered
uk-london,iamome-test,37959,37959,0,37959,0,0,not_sure
uk-london,iaulme-test,5,5,5,0,0,0,recovered
us-ashburn,daadjb,4,4,4,0,0,0,recovered
us-ashburn,daafjb-dev1,4,4,4,0,0,0,recovered
us-ashburn,eevd-dev2,3,3,0,3,0,0,recovered
us-ashburn,eewo-dev115,1,1,1,0,0,0,recovered
us-ashburn,eewo-dev118,1,1,1,0,0,0,recovered
us-ashburn,egmr-dev1,90,90,90,0,0,0,recovered
us-ashburn,egmr-test,255,255,255,0,0,0,recovered
us-ashburn,eiiv-dev6,53,53,0,53,0,0,recovered
us-ashburn,eiiy,1,1,1,0,0,0,recovered
us-ashburn,ejbz-dev9,2,2,2,0,0,0,recovered
us-ashburn,ejis,14,14,0,14,0,0,recovered
us-ashburn,evqd-dev3,10,10,10,0,0,0,recovered
us-ashburn,ewbi-dev2,42,42,42,0,0,0,recovered
us-ashburn,ibspjb-dev2,11499,11499,0,11499,0,0,not_sure
us-ashburn,ibukjb-test,11,11,11,0,0,0,recovered
us-ashburn,ibumjb-dev1,1,1,1,0,0,0,recovered
us-phoenix,dabpqy,174,174,174,0,0,0,recovered
us-phoenix,dabuqy,140,140,140,0,0,0,recovered
us-phoenix,eeho,1,1,0,1,0,0,recovered
us-phoenix,eqgj-dev8,58,58,58,0,0,0,recovered
us-phoenix,eqhd-dev9,175,175,175,0,0,0,recovered
us-phoenix,eqih-dev8,166,166,166,0,0,0,recovered
us-phoenix,eqil,331,331,331,0,0,0,recovered
us-phoenix,eqil-dev6,39,39,39,0,0,0,recovered
us-phoenix,eqiq-dev13,213,213,213,0,0,0,recovered
us-phoenix,esll-dev26,3000,3000,3000,0,0,0,recovered
us-phoenix,etaq-dev21,26,26,26,0,0,0,recovered
us-phoenix,euth-dev28,43,43,43,0,0,0,recovered
us-phoenix,euth-dev31,17,17,0,17,0,0,recovered
us-phoenix,euth-dev90,899,899,899,0,0,0,recovered
us-phoenix,exmi,1,1,0,1,0,0,recovered
us-phoenix,exmi-dev7,11,11,11,0,0,0,recovered
us-phoenix,iatgqy,4,4,4,0,0,0,recovered
us-phoenix,iawmqy,132,132,132,0,0,0,recovered
us-phoenix,iawmqy-dev2,1,1,1,0,0,0,recovered
us-phoenix,iawmqy-dev7,35,35,35,0,0,0,recovered
us-phoenix,iaxpqy,377,377,377,0,0,0,recovered
